COALICION,descripcion_candidatura
JxC, "Buenos Aires Primero"                                        
JxC, "Coalición Cívica - Afirmación para una República Igualitaria"
Izquierda, "Confluencia - Por la Igualdad y la Soberanía"                
LLA, "El Movimiento"                                               
FdT, "Es Ahora Buenos Aires"                                       
JxC, "Evolución"                                                   
Izquierda,"Frente de Izquierda y de Trabajadores - Unidad"              
Otros,"Frente Patriota Federal"                                     
Izquierda,"La Izquierda en la Ciudad"                                   
LLA,"La Libertad Avanza"                                          
LLA,"Movimiento de Integración y Desarrollo"                      
Otros, "Movimiento Plural"                                           
FdT,"Principios y Valores"                                        
FdT,"Seamos Libres"                                               
LLA,"Unión del Centro Democrático"                                
LLA,"Unión Porteña Libertaria"                                    
JxC,"Volvamos Buenos Aires"                                       
Otros,"Voto en BLANCO"                                              
Otros,"Votos NULOS"                                                 
Otros,"Votos RECURRIDOS" 